0: 160
1: 108
2: 22,54,76,64,140,126
3: 90
4: 139,101
5: 97,113
6: 152,188,190,74,79,119,91
7: 176
8: 41,64,80,120,122,106
9: 
11: 117,157,180,129
12: 13,26,191,142
13: 28,143,121,159,50,12,26
14: 35,104,68
15: 124,110
16: 165,54
17: 71,138,95,109
18: 191,170,27
19: 70,54,165,178,30
20: 156,29
21: 186,85,148,83,103,31
22: 2,165,30,127
23: 166
24: 110,162,56
25: 73,126,161
26: 13,121,159,50,12,191,87,142
27: 168,18,191
28: 13,48,159,61,50,77
29: 181,20
30: 41,49,19,64,165,22,51
31: 123,21,47,172,83,50,103
32: 134,124,34,36
33: 
34: 124,88,36,32
35: 174,14,175,104
36: 34,134,32,48
37: 99,39,57,115
38: 138,102,184,53
39: 37,182
40: 98,46,116,123,179,117
41: 30,126,8,161,64
42: 184
43: 
44: 163,77,184
45: 
46: 96,40,123
47: 172,31,114
48: 28,36,134,77,106
49: 30,139,101,71,106
50: 13,28,159,93,26,151,172,31
51: 139,178,101,30
52: 
53: 116,66,38
54: 57,19,16,165,2
55: 114,128,123,135,78
56: 57,110,24
57: 99,54,37,56
58: 75,192,136
59: 141,133
60: 82,151,143,93
61: 28,121,159,69,77,116,102,87
62: 163,69,85
63: 
64: 125,134,2,41,30,126,8
65: 
66: 53,169
67: 
68: 88,104,171,14
69: 163,62,77,85,61,98,116
70: 19,178
71: 17,102,139,101,49,149,87,106
72: 154
73: 25,161,146
74: 193,6,188
75: 114,128,58
76: 162,2,140,126
77: 163,44,69,28,48,61
78: 55
79: 119,91,152,6
80: 8
81: 
82: 60,125,143
83: 148,21,31
84: 157,129
85: 21,62,69
86: 119
87: 149,130,94,106,121,61,26,120,71,102
88: 68,34
89: 47,114
90: 139,3
91: 79,119,107,6,173
92: 176
93: 50,151,172,60,153
94: 149,87,130,122,97
95: 187,109,17
96: 46
97: 94,122,141,5
98: 40,103,116,186,69,123
99: 37,57
100: 152
101: 51,139,4,178,49,71,106
102: 71,38,184,61,116,87
103: 98,21,186,31,123
104: 171,68,35,14
105: 
106: 87,48,120,101,49,8,71
107: 187,91
108: 1,172
109: 95,187,17
110: 15,124,56,24
111: 
112: 
113: 5
114: 75,128,55,47
115: 37,194
116: 98,40,53,69,61,102
117: 11,40,179
118: 136
119: 79,86,91,6,181,173
120: 121,8,87,130,106
121: 13,159,61,26,120,87
122: 130,94,97,8,146,141,133
123: 31,98,40,103,46,55
124: 15,34,110,125,134,32
125: 134,64,124,82
126: 41,76,64,2,140,25
127: 22
128: 114,75,55
129: 11,157,84
130: 149,87,142,94,122,120
131: 179,169
132: 152,155,185
133: 146,141,59,142,122
134: 125,32,64,124,36,48
135: 192,55
136: 58,118
137: 
138: 17,38
139: 51,90,4,101,49,71
140: 76,2,126
141: 146,133,59,122,97
142: 130,12,26,133
143: 13,60,82
144: 
145: 188,173
146: 141,133,73,122
147: 189
148: 83,166,21
149: 87,130,94,193,71
150: 179
151: 93,50,60
152: 6,190,132,100,79
153: 172,93
154: 72,183
155: 157,132
156: 20
157: 11,84,129,155
158: 164
159: 13,28,121,61,50,26
160: 0
161: 41,177,25,73
162: 24,76
163: 44,62,69,77,164
164: 163,158
165: 16,54,19,22,30
166: 148,23
167: 175
168: 27
169: 131,66
170: 18
171: 104,68
172: 108,47,93,50,31,153
173: 181,145,119,91
174: 35,175
175: 35,174,167
176: 92,7
177: 161
178: 51,101,70,19
179: 150,131,40,117
180: 11,192
181: 173,119,29
182: 189,39
183: 154
184: 42,38,102,44
185: 132
186: 21,98,103
187: 107,95,109
188: 6,193,74,145
189: 147,182
190: 152,6
191: 18,12,26,27
192: 135,58,180
193: 149,74,188
194: 115
