0: 160,286
1: 
2: 22,225,127,261,322,223,39,126
3: 231,90,9,17
4: 206,178
5: 6,43,228
6: 79,5,219,239,74,91
7: 280
8: 41,64,97,161,94,143,80,25,230,146
9: 3
11: 287,155,117,260,267,185,27
12: 281,191,252,274,318,279,200,13,310,60
13: 310,26,60,232,159,252,50,12,31
14: 272,268,249,124,134,171,220,159
15: 171,272,281
16: 70,54,165,206,178,261
17: 109,90,3,81,71,256
18: 210,214,229,199,251,58,197,267,192,136
19: 101,70,57
20: 297,29
21: 
22: 2,223,165,51,208,212,195
23: 128,269
24: 266,196,56,236,247
25: 143,125,236,80,41,8,161
26: 205,200,13,310,244,61,31,123,121,130
27: 133,11,260,290,59,317
28: 158,69,253,61,232,159
29: 20
30: 204,32,36,221
31: 275,300,55,123,103,47,61,13,26,232
32: 30,211,110,57
33: 301,283
34: 278,308
35: 68
36: 44,311,288,30,201,253,221
37: 39,216,309
38: 138,96,150,42,102,116,265
39: 196,54,56,37,2,127,261
40: 179,150,46,123,193,77,116,130,117,203
41: 208,64,8,161,212,125,223,25
42: 112,81,240,53,102,116,265,38
43: 107,5,297
44: 311,233,312,36,101,201,139
45: 273
46: 186,55,123,179,40,96
47: 50,31,170,114,103
48: 310,220,221,315,288
49: 64,212,94,231,238,258
50: 264,172,83,47,293,151,271,252,93,13,232,159
51: 231,165,22,212
52: 158,164
53: 102,296,240,42,81
54: 39,56,57,216,234,70,16
55: 31,275,123,103,199,46,202,179,117
56: 54,39,57,24,235,125
57: 54,56,211,70,19,235,32
58: 197,18,251,75,136
59: 168,152,317,27,132
60: 318,279,13,310,159,12
61: 69,28,205,26,232,31,123,77
62: 
63: 
64: 41,8,212,49,94,106,288,238,120
65: 217,168
66: 262
67: 320
68: 35,268
69: 198,61,158,28
70: 183,16,54,57,19
71: 256,102,193,296,238,306,219,239,17
72: 154,298
73: 113
74: 276,239,87,6,79
75: 251,303,58,197
76: 266,196
77: 102,193,116,296,61,205,149,40
78: 257,202
79: 6,190,239,74,87,284,132,91
80: 143,8,25
81: 42,53,256,17
82: 295,281,224,279,220
83: 264,50,88,151,271
84: 263
85: 
86: 119,217,292
87: 155,203,239,74,145,79,132,91,188
88: 148,83
89: 108,172,227
90: 231,238,3,139,17
91: 284,188,145,87,107,6,79,181,173
92: 289,254
93: 252,172,50,170
94: 64,8,97,49,306,276
95: 
96: 131,38,270,46,314,116,265
97: 8,94,146
98: 186,257
99: 
100: 152,213,320
101: 44,311,19,178,248,139
102: 53,71,193,77,116,296,42,38,150
103: 31,114,55,123,47,186,257
104: 264,172,245,108
105: 282
106: 64,311,288,238,120
107: 43,190,297,91
108: 89,245,104,172
109: 17,215,156
110: 321,124,32
111: 
112: 42,240
113: 73
114: 170,229,103,199,47,202,251
115: 194
