0: 540,466
1: 35,446,680,245
2: 322,561,617,469,545,477,22,678
3: 9,430
4: 206,312,233,101
5: 376,412,585,113
6: 87,425,107,661,365,640,91,328,79,354,188,683,336
7: 460,329,531,57,351,399
8: 338,380,276,315,587,25,161,97,94,522,451
9: 3,430,139
11: 287,483,542,652,267,546,647,594,244,130,122,291,260,214
12: 295,274,281,464,13,699,432,339,563,210,122
13: 464,220,232,339,60,300,454,498,295,12,630,281
14: 484,60,252,264,530,352,423,310,350,278,253
15: 557,481,327,416,570,548,171
16: 495,204,489,211,54,19,422,393,387,288
17: 367,90,81,335
18: 58,364,436,192,622,672,520
19: 690,453,666,673,489,211,399,16,204,422,387
20: 337,582,29,181,91,407
21: 610,583
22: 575,126,2,322
23: 128,628,568,186
24: 76,565,410,556,551,162,56,386
25: 161,125,97,191,80,338,8,315,523,26,618
26: 604,121,627,228,618,611,80,31,623,642,338,143,25,191,580,501
27: 260,444,267,468,421,136,331
28: 123,368,588,549,398,456,626,381
29: 337,20,328,659,407,348,539
30: 492,690,660
31: 205,464,330,432,339,623,353,149,527,604,26,306,121,244,130,685
32: 422,221,616,110,669,159,134,57,399,690,564,660
33: 382,631,157,691,346,284,396
34: 159,329,373,567,243,350,278
35: 446,151,1,245
36: 61,368,51,492,311,564,681,205,48
37: 448,668,495,56,386,440,204,216,489,54
38: 112,664,361,96,116,131,480
39: 194,574,189,514,615,196,505,534,370,322,333
40: 657,228,130,541,145,341,87,425,239,79
41: 668,495,162,204,224,589,469,64,125
42: 383,112
43: 187,677,376
44: 492,308,164
45: 658
46: 241,257,103,96,55,507,550,137
47: 517,415,277,227,172,568
48: 205,464,220,232,310,564,221,681,510,669,36,368
49: 525,412,612,332
50: 433,378,437,252,264,300,625,398,536,180,249
51: 36,590,205,77,193,543,675,527
52: 69,323
53: 590,397,361,571,116,383,296,480
54: 489,70,211,234,37,495,16,482,127,393
55: 257,46,103,507,550,496,600,269,275,583,166,137
56: 448,668,37,162,386,216,505,24,76
57: 134,531,7,577,399,247,32
58: 324,18,374,364,436,391,192,622
59: 429,290,578,542,652,444,146,584,526
60: 14,318,252,530,272,124,454,498,220,13
61: 36,590,368,637,164,311,511
62: 240,511,316,164,311,184
63: 319
64: 288,315,682,523,41,644,469,663
65: 284,596,396,168,382
66: 509,78,700,96,262,405,131,529
67: 424,638
68: 151
69: 438,278,253,608,52,461,323,403
70: 489,211,54,206,491,547,635,673,482
71: 106,504,679,248,219,120,193,543,450,238,675,306,627
72: 609
73: 459,506
74: 585,87,519,651,113,239,142,462,320,458,146
75: 128,229,303,269,114,394
76: 24,236,615,551,56,370
77: 143,681,51,205,248,675
78: 166,509,137,66,186,257
79: 429,188,336,145,40,259,155,341,640,87,425,6
80: 502,82,279,611,629,642,295,25,191,26
81: 356,419,17
82: 470,80,502,498,629,220,295
83: 494,484,486
84: 362
85: 445
86: 348,292,524,593,385,283,487
87: 74,425,6,519,651,107,239,40,657,228,146,79,429,290,578,336
88: 445,446
89: 369,227,427,170
90: 525,367,231,17,106,389,335,504,413,679
91: 181,349,328,659,6,188,20
92: 636,465
93: 313,153,237,378,692,249,418,449,197,374
94: 258,522,462,459,195,656,8,506,451,141
95: 365,344,640,343,181
96: 241,257,46,550,116,518,664,405,509,700,66,38,131
97: 25,161,338,8,276,618,142,451
98: 198,639
99: 636,465
100: 132,384,535,190
101: 387,389,335,504,413,576,233,4
102: 296,343,383,455,500,150,480
103: 46,456,55,507,626,381,624,496,275,597,583,684
104: 517
105: 371
106: 389,504,71,219,380,120,525,231,305,90,522
107: 87,425,6,519,651,113,490,239,365,332
108: 457,345,293,619,318,433,614,606,153
109: 367,297,156
110: 221,434,616,32,134
111: 560,479,360,222,226,243,321,416
112: 455,552,38,383,42,480
113: 585,74,519,651,107,490,5
114: 135,364,275,180,418,202,303,378,600,269,75,229,394,391
115: 154,234,400,165,503,514
116: 96,571,53,664,38,493,559,131,480,613
117: 287,667,647,203,507,624,135,275,597,202,684,594
118: 513,468,439,421,136,533,691,331
119: 487,603
120: 338,219,380,276,143,106,71,627
121: 604,26,244,130,230,31,699,432,623,133,580,501
122: 133,432,12,563,210,244,11,291,214
123: 590,368,28,330,456,571,527,357
124: 350,134,272,327,570,60,530,221
125: 25,161,41,224,694,469,315,523
126: 22,266,544
127: 261,589,617,393,54,165,366,309
128: 23,75,628,392,303,516
129: 394,192,202,641,137,655,199,693
130: 604,306,121,40,657,244,230,685,31,149,11,287,475,341,647
131: 173,96,550,116,405,700,66,38,390,529,537
132: 284,354,596,578,336,661,384,535,447,190,100,213,654,650
133: 317,580,501,122,121,244,230,291
134: 226,243,350,327,124,570,531,57,159,221,110,32
135: 364,275,417,597,202,114,594,192,667,267,672,117,251
136: 520,533,27,388,513,118,468
137: 166,509,78,700,257,46,55,507,550,275,202,129,655,537
138: 270,265,150,169
139: 430,178,671,9,231
140: 615
141: 94,462,459,591
142: 317,580,97,228,618,74,458,146
143: 338,120,682,77,279,681,611,644,205,26
144: 592
145: 541,40,500,259,341,640,425,79
146: 320,142,317,74,87,290,578,59,584,535
147: 528,182,471
148: 445,601,255
149: 541,193,527,357,31,306,130,685,420,500,475,341
150: 500,480,102,455,270,256,138
151: 35,68,484,423
152: 650,676,621,593,654,695
153: 313,93,619,108,433,237,378,274,249
154: 115
155: 287,483,689,341,546,402,203,420,259,79,429
156: 109
157: 33,631,691,346,263,301
158: 567
159: 308,34,350,134,278,530,310,564,221,32
160: 601
161: 25,125,97,469,477,8,587,441,451
162: 668,495,56,386,41,24,236,224,565,694,358
163: 674,660,673,473,351
164: 377,316,492,44,311,62,511,61
165: 347,234,115,194,514,309,463,127
166: 641,137,78,269,55
167: 340,268
168: 526,447,596,396,65,382,325,331
169: 362,270,173,581,138
170: 172,89,227,606,313,392,665
171: 573,454,174,548,15
172: 433,614,237,572,170,47,415,227,606,313,392
173: 493,420,179,131,270,203,285,169,362,537
174: 599,521,548,457,171
175: 521,340
176: 242,598,479,577,411,472,216
177: 575
178: 366,408,212,671,309,389,139
179: 493,173,507,202,689,667,203,285,362,655,686,537,693
180: 536,275,417,249,418,597,583,114,303,378,50,600
181: 91,95,20
182: 696,147
183: 409,547
184: 383,356,62,590,296,193,401
185: 263,388,513,199,468,251,693,478,439,192
186: 269,23,78
187: 412,602,43,677
188: 284,79,6,91,349,363
189: 39,607,534,322
190: 661,132,100,539,213
191: 25,80,642,26
192: 129,394,391,622,135,364,202,58,18,672,388,199,185,251,693
193: 296,541,149,343,401,543,238,675,527,590,51,71,184,306
194: 503,39,574,514,379,347,165,322
195: 94,459,602,656,225
196: 528,428,615,400,505,39
197: 474,391,93,698,229,692,418,324,374
198: 98,639
199: 263,185,251,693,478,129,192
200: 464,220,699,623,611,295
201: 329,373,633
202: 135,275,114,507,137,129,192,179,667,117,655,251,693
203: 287,483,155,689,667,475,341,117,507,624,493,420,179,173,259
204: 37,399,495,16,440,41,247,489,19,422,616,358
205: 31,464,330,48,623,681,36,368,51,143,77,675,527
206: 70,211,233,453,482,4
207: 431
208: 223,678,656
209: 299,246
210: 449,339,12,274,417,249,563,122,214
211: 489,70,54,206,16,19,453,666,673,482,387
212: 366,178,309,261,653,389,231,305
213: 371,539,524,621,654,132,190
214: 291,260,417,563,594,210,436,244,122,11,267
215: 525,231,305
216: 37,56,386,440,472,176,598,428
217: 593
218: 
219: 380,276,120,106,71,627,258,462,239
220: 464,200,13,48,60,221,611,510,629,82,498,295
221: 434,110,510,32,669,159,134,124,530,564,220,48
222: 111,481
223: 208,575,656
224: 694,162,41,125
225: 195,656,506
226: 243,134,321,327,416,570,560,111,443,250,481,247
227: 369,426,47,89,427,172,170,665
228: 604,26,627,40,657,618,230,276,142,317,87,239
229: 698,75,303,418,114,394,474,391,197
230: 604,121,657,244,228,130,317,133,652
231: 525,215,305,90,212,106,389,139
232: 464,13,48,579,339,398,300
233: 492,453,674,311,666,206,312,4,101
234: 409,115,400,54,547,165,514
235: 422,434,279,616,358,644
236: 76,694,162,370,333
237: 303,433,172,378,516,572,313,93,153,392,418
238: 193,343,401,476,679,71,344
239: 74,87,425,519,107,219,450,627,40,228,462,365
240: 62,511
241: 257,46,96,626,632,664,361
242: 176,280,562
243: 226,350,134,327,416,531,360,111,34
244: 121,130,230,685,31,432,563,353,594,133,122,11,647,291,214
245: 35,1
246: 460,299,209,635
247: 399,386,440,204,598,560,577,443,226,57,565,554,616,358
248: 576,71,77
249: 180,417,418,378,50,93,153,274,210,449
250: 481,443,586,670,226,321
251: 199,185,468,693,478,439,135,202,192,483,667,267,672
252: 14,293,619,318,60,264,352,300,625,50
253: 69,278,549,608,461,323,14,310,368,637
254: 
255: 148
256: 150,95
257: 241,46,96,55,496,509,137,78
258: 94,462,459,612,602,219
259: 420,500,145,155,341,203,79
260: 291,444,27,214,11,542,267,546
261: 561,127,617,366,212,309
262: 372,307,405,294,518,66
263: 199,185,478,439,346,362,686,157,691
264: 14,252,352,300,310,625,549,461,271,50,398
265: 270,334,138
266: 126,544
267: 11,483,546,672,135,594,260,444,27,214,468,251,421
268: 167
269: 186,303,600,75,55,496,114,166
270: 455,265,173,150,480,169,138
271: 549,461,264,398
272: 124,557,60,454,498
273: 658
274: 12,281,619,300,153,249,210
275: 135,180,597,202,583,114,600,103,55,507,137,117
276: 338,219,8,120,97,228,618,462
277: 47,286,314,568
278: 69,355,253,323,159,34,14,310
279: 611,235,644,629,80,143
280: 375,562,242
281: 12,274,630,619,13
282: 
283: 631,385,86
284: 354,132,188,396,65,33
285: 362,655,686,529,537,179,173
286: 277,466
287: 11,483,155,341,546,647,203,117,130
288: 64,682,16,393,663,387
289: 
290: 429,578,59,336,657,87,146
291: 260,214,244,317,133,122,11,542
292: 524,621,593,86,695,487
293: 318,252,352,345,415,457,108,433,614
294: 372,262,307,518,566
295: 12,630,611,629,80,82,498,464,200,220,13,699,642
296: 102,193,343,401,53,590,383,184
297: 332,109,407
298: 
299: 246,209
300: 619,318,252,264,625,50,13,232,579,339,398,274
301: 157
302: 639,395
303: 237,378,437,516,600,269,128,75,229,180,418,114
304: 
305: 215,231,212,653,106,380,522
306: 604,627,130,31,71,541,149,193,675,527
307: 372,262,405,294,566,595
308: 159,329,44,660
309: 366,178,212,463,165,127,261
310: 14,264,530,159,278,253,564,368,48
311: 492,233,164,62,61,36,576,543
312: 377,316,233,4
313: 606,93,153,433,172,237,170,392,692
314: 532,277
315: 338,64,8,682,523,644,25,125
316: 312,377,164,62
317: 142,133,580,657,228,230,291,146
318: 293,619,60,252,300,573,457,454,108
319: 63
320: 458,146,74,535
321: 226,111,250
322: 2,617,39,194,189,22
323: 69,278,253,608,52
324: 58,374,698,692,474,391,197
325: 168,382
326: 553
327: 226,243,350,134,124,416,570,548,15,423
328: 91,659,6,683,29
329: 201,308,34,373,7,531
330: 205,31,579,123,368,527,357,685
331: 444,27,118,421,533,526,168
332: 297,365,49,412,107,490
333: 236,39,370
334: 342,265,646
335: 389,413,101,430,90,17
336: 79,354,132,429,290,578,87,6,661
337: 20,29
338: 8,276,315,120,143,682,25,97,26,618
339: 31,464,13,432,232,579,300,12,563,353,210
340: 167,175
341: 287,155,203,149,145,40,130,420,259,79
342: 390,595,334
343: 102,296,541,193,401,238,476,500,95,344
344: 95,419,343,401,238,476
345: 293,457,108,614
346: 362,686,402,263,33,157,691
347: 165,503,194,379
348: 539,524,86,659,29
349: 91,659,188,363,508,385
350: 243,134,327,124,159,34,14,530,423
351: 491,7,399,660,673,163
352: 484,14,293,252,264,625,538
353: 414,597,563,594,31,432,339,244,685,647
354: 284,132,683,336,6,661,539
355: 278,494,567
356: 184,81,413,401
357: 149,527,123,330,456,571,624,420,559,475
358: 554,434,616,235,443,162,204,247,565,470,502
359: 574,379,442
360: 687,599,521,111,243,416
361: 518,664,53,241,38
362: 285,84,169,346,686,179,173,263
363: 349,188,385
364: 135,417,418,114,436,449,391,192,58,18,374,672
365: 332,95,640,425,6,107,239
366: 482,178,212,309,463,127,261,393
367: 525,109,90,17
368: 61,123,36,637,28,549,253,310,205,330,48,398
369: 227,89,427
370: 534,615,236,76,39,333
371: 524,213,105,621
372: 262,307,662,294
373: 201,329,34
374: 58,324,93,692,364,418,436,449,391,197
375: 280
376: 649,5,43
377: 312,555,316,164,674
378: 303,433,237,437,516,50,93,153,180,249,418,114
379: 503,194,574,359,347,442
380: 219,8,120,587,106,305,522
381: 456,103,28,579,398,536,414,583
382: 33,631,396,65,168,325
383: 42,184,53,102,296,401,455,112
384: 535,132,100
385: 508,349,363,86,283
386: 448,37,162,56,440,216,247,410,598,443,24,565
387: 389,504,101,576,211,16,19,666,393,288,682
388: 513,185,468,192,622,520,136
389: 387,106,335,504,101,178,212,231,90
390: 342,405,131
391: 394,474,192,197,229,364,418,114,58,324,374
392: 698,128,628,172,237,170,313,665,404,692
393: 127,589,663,54,16,482,366,387,288
394: 129,474,391,192,75,229,114,641
395: 302,497
396: 284,596,65,402,168,382,33
397: 53,497,588,632
398: 232,579,549,264,300,271,50,368,28,381,536
399: 440,204,247,472,7,57,489,351,19,660,673,616,32
400: 428,196,505,234,115,514
401: 296,193,343,238,383,356,419,184,344
402: 155,346,439,421,396
403: 69,438
404: 512,665,426,698,628,392
405: 262,307,96,66,131,390,529
406: 696
407: 297,490,634,20,29
408: 178,671
409: 234,547,183
410: 598,411,443,556,586,386,24
411: 176,410,598,479
412: 612,602,49,187,332,5
413: 335,504,101,679,356,90
414: 597,684,353,579,381
415: 517,47,446,293,614,172,538
416: 226,243,327,548,360,111,15,481
417: 135,364,180,249,418,597,563,594,210,436,449,214
418: 364,180,417,249,114,303,237,378,93,229,449,391,197,374
419: 81,401,344
420: 493,559,500,173,259,613,624,149,357,155,475,341,203
421: 513,118,468,439,267,402,444,27,331
422: 681,616,235,32,644,669,16,204,19,690,682
423: 14,530,151,350,327
424: 67,585
425: 87,6,107,239,541,145,450,40,365,640,79
426: 227,628,404
427: 89,369,227,665
428: 196,400,216
429: 79,290,578,59,336,657,155,652,546,87
430: 605,671,335,139,9,3
431: 207
432: 31,464,699,339,623,12,563,353,121,244,122
433: 614,172,237,378,437,538,572,50,293,108,313,153
434: 554,221,616,110,358,235,669,629,470,502
435: 605
436: 449,364,417,58,18,374,672,214
437: 303,433,378,538,516,572,50,600,610,583
438: 69,461,403
439: 263,185,118,468,251,478,421,483,689,402
440: 448,37,399,386,204,216,247,472,598,577,489
441: 477,161,678,451
442: 515,359,379
443: 410,556,586,670,226,250,386,247,565,554,358
444: 260,27,542,267,421,59,526,331
445: 85,88,148
446: 35,1,88,517,415
447: 168,132,596
448: 37,56,386,440
449: 210,436,93,364,417,249,418,374
450: 541,476,71,627,425,239
451: 8,161,97,441,94
452: 697
453: 492,19,233,666,673,211,206
454: 573,171,272,318,60,498,13,630
455: 112,270,383,102,150,480
456: 103,571,626,381,624,123,28,684,357,559
457: 573,108,345,174,293,318
458: 320,591,142,74
459: 258,94,195,602,506,141,73
460: 246,472,7,491,635
461: 69,438,549,253,264,271
462: 258,94,219,276,141,74,519,239
463: 482,366,309,165
464: 205,31,200,220,13,699,432,232,48,579,339,623,295,12
465: 636,92,99,499,558
466: 286,0
467: 
468: 388,513,185,118,251,439,421,267,672,27,520,136
469: 2,589,41,545,477,64,161,125
470: 502,82,498,557,554,434,358,629
471: 528,551,147
472: 460,176,577,491,399,440,216
473: 674,163
474: 394,391,197,698,229,324
475: 647,203,624,149,357,130,685,420
476: 541,343,450,238,344
477: 545,2,469,161,441
478: 263,199,185,251,693,439,655,686
479: 176,560,111,411
480: 150,613,53,116,102,455,112,270,38
481: 15,250,222,226,416
482: 366,463,70,211,54,206,393
483: 11,287,155,689,267,546,203,251,439
484: 14,352,151,83
485: 
486: 83,538
487: 119,292,593,86,603
488: 
489: 70,211,54,37,399,495,16,440,204,19,673
490: 113,107,332,407
491: 351,70,635,472,460
492: 30,233,44,453,674,311,666,164,36
493: 420,559,179,173,613,507,624,116,203
494: 83,355
495: 668,37,162,16,204,41,489,54
496: 257,103,55,610,600,269,583
497: 588,397,637,608,395
498: 470,82,272,557,60,454,220,13,295,630
499: 558,465
500: 420,259,150,102,541,149,343,145
501: 133,580,699,642,26,121
502: 470,80,82,434,358
503: 194,574,514,379,115,347
504: 387,106,389,413,101,576,679,71,90
505: 615,196,400,668,56,39
506: 225,94,459,73
507: 46,103,55,550,624,275,202,137,493,179,203,117,655,537
508: 385,349
509: 137,78,700,66,257,96,550
510: 221,669,629,220,48
511: 240,62,164,61
512: 404,692,698
513: 388,185,118,468,421,136,533
514: 503,39,194,234,115,400,165
515: 569,442
516: 303,237,378,437,572,600,610,128
517: 104,47,415,446
518: 664,361,96,262,294
519: 74,87,651,113,107,239,462
520: 136,622,18,388,468
521: 175,360,599,174
522: 94,656,653,106,8,380,587,305
523: 64,315,644,25,125
524: 348,371,292,539,213,621,593,86,654
525: 215,367,231,90,49,106,612
526: 584,168,444,59,331
