0: 540,466
1: 89
2: 322,208,261,469,561,477,126
3: 139,430
4: 206,233
5: 113,519,490,107
6: 425,336,87,365,79,190,354
7: 57,472,351
8: 338,258,64,380,120,125,288,276,25,161
9: 139
11: 287,155,421,402,230,122,267,546,317,260,444
12: 295,133,274,281,300,13,432,339,210,244
13: 300,464,200,48,432,232,60,220,295,12,281,82
14: 60,398,318,423,272,350,134,327,124,159,530,310
15: 557,327,124,570,272,548,454,470
16: 482,54,19,453,399,366,387,261,393
17: 90,335,413,81,419,344,238
18: 436,214,251,58,267,260,468,520,27
19: 453,492,16,422,248,399
20: 407,337,29
21: 461
22: 126,379,177
23: 128,496
24: 236,76,556,443,56,386,565
25: 161,97,80,338,8,125,276,26
26: 121,501,143,80,464,200,432,338,120,276,25,191,142
27: 136,18,267,260,444,331,468
28: 61,123,368,549
29: 337,181,91,328,407,20
30: 36,492,323,159,253,221,32,564
31: 205,300,464,232,330,50,414,339,353,475,130,149,121,244
32: 422,221,110,399,440,134,159,351,30
33: 284,188,396,363,346,157
34: 531,373,243
35: 68,446,517,415,174,151,293
36: 30,492,143,248,564,61,311,205,48,51,527
37: 448,54,162,495,56
38: 361,397,116,42,112,270,480
39: 194,189,553,505,140,370,322,333,127,534
40: 130,149,121,239,306,87,341,541,145
41: 315,422,235,204,224,469,64,125,288
42: 383,361,184,38,455,112,480
43: 107
44: 164,492,312
45: 148
46: 241,103,55,116,550,456,123
47: 392,172,568,516,104,277,227,352,486
48: 205,464,200,13,310,432,232,36,221,279,530,143,220,564
49: 476,238,71,450,239,525,219,412,425
50: 275,180,417,414,339,381,249,536,300,31,232
51: 543,77,36,248,311
52: 308,278,323,69,164
53: 296,455,500,361,123,357,184,397,456,559,480
54: 37,204,495,489,70,211,482,16,399,165,366,261
55: 46,257,103,117,275,114,381,269,78
56: 448,37,162,386,565,196,24,76
57: 176,560,7
58: 374,436,18,391,192,520
59: 526,384,317,132,290,542
60: 14,318,272,252,300,13,232,281,498
61: 123,368,511,28,311,549,69,253,36,205
62: 377,184,511,356
63: 319
64: 8,380,125,288,41,261,469,561,393
65: 382,447,168,152,217
66: 262,96,509,78
67: 424
68: 35,446
69: 253,52,278,323,164,61
70: 489,163,211,472,206,491,547,482,234,351,54
71: 193,343,450,90,413,106,543,77,120,239,306,219,238,49
72: 99,298
73: 195,459,225,506
74: 519,336,228,141,458,146
75: 391,229,303,114,166
76: 24,370,551,56
77: 51,543,120,193,71,306
78: 166,186,257,96,55,269,66
79: 429,188,354,145,87,259,155,6,336,91
80: 502,523,295,338,125,25,26,191
81: 17
82: 295,498,272,279,358,220,470,200,13
83: 445,484,461
84: 362,346
85: 445
86: 487,217,284,283,292
87: 130,40,341,145,155,230,6,336,79,429,290
88: 446,445
89: 1,104
90: 17,389,335,504,413,106,71,238
91: 181,349,363,508,259,365,284,79,188,328,29
92: 562,242,479
93: 197,449,378,274,417,418,249
94: 195,522,462,208,258,97,223,506,451
95: 365,344,476,256,343,145
96: 241,98,257,116,550,518,405,66,78,131
97: 25,161,276,228,142,94,462,141,146
98: 241,96,314
99: 72,406,499
100: 447,213,132,190,152
101: 335,504,233,387
102: 296,455,343,500,150,480
103: 46,55,456,117,275,414,381,475
104: 47,392,172,415,89,352,345,108
105: 371,539
106: 90,389,212,258,380,71,525,305,219,238
107: 490,113,5,376,43
108: 170,153,345,392,172,104
109: 367,297
110: 434,235,32,440,134,247
111: 360,222
112: 552,38,42
113: 412,519,5,107
114: 364,275,180,418,303,55,202,394,75,229,251
115: 154,503
116: 241,46,96,550,397,38,270,559
117: 275,135,103,55,202,507,179,199
118: 263,185,439,331,513,396,157,533
119: 487
120: 338,8,380,288,276,143,77,71,26,239,306
121: 130,26,149,501,40,306,244,464,31,432
122: 11,287,230,267,563,353,214,291,317,260,444
123: 61,357,330,368,28,397,46,456,53
124: 134,327,570,15,14,272,434,530,220
125: 338,64,8,315,523,41,224,502,80,469,25,161
126: 22,2,322,544,441
127: 322,505,495,347,39,194,514,400,165,309
128: 23,474,237,404,303,229
129: 263,185,439,192,199,137,202,394
130: 149,121,40,244,87,341,31,353,475,420,287,203,230
131: 537,507,270,405,257,96,550,509,137,285,529
132: 213,429,396,290,542,190,526,384,447,59,100,168,535
133: 12,210,244,291,563
134: 226,243,350,247,327,124,159,14,221,434,530,110,32
135: 117,364,275,353,287,483,203
136: 520,513,27,331,388,468
137: 166,509,257,202,507,131,285,129,199
138: 508,301
139: 178,408,3,430,389,9,231
140: 551,528,370,39
141: 506,97,462,74
142: 191,291,276,97,26,501,228,146
143: 279,510,248,36,205,464,200,48,338,120,288,26
144: 246,299
145: 541,343,450,40,87,341,259,155,95,79
146: 458,97,228,142,74,336,290
147: 182,471
148: 45
149: 130,121,40,306,357,330,205,31,475,541,193,420,527
150: 173,102,265,256
151: 352,423,293,484,35,415
152: 213,447,100,65,217
153: 457,345,252,433,108,249
154: 409,115,183
155: 11,478,203,402,230,546,145,87,341,259,79,429,188
156: 
157: 263,118,33,346
158: 355,567,494
159: 350,134,278,253,14,30,221,530,32,564,310
160: 
161: 25,97,208,8,125,451
162: 37,495,56,565,236
163: 70,351,201,473
164: 44,52,323,69,316
165: 366,482,234,54,495,514,400,127
166: 78,137,202,75
167: 340,268
168: 526,384,447,132,396,65,533,325
169: 285,529,334
170: 108,392,237,404,313,427
171: 174,548
172: 47,433,392,378,437,538,516,264,104,352,108
173: 150,362,537,559,179,259,493,420,500,203
174: 245,175,35,171
175: 340,245,174
176: 242,57,560
177: 22
178: 309,139,389
179: 362,537,507,173,493,117,483,478,203,199
180: 50,275,417,414,418,114,381,378,437,536,303
181: 349,91,508,328,29
182: 528,428,147,196
183: 206,154
184: 511,397,311,361,62,42,383,296,455,401,53
185: 263,388,129,118,439,192
186: 466,496,78
187: 525,332
188: 284,79,429,33,259,155,91,363
189: 39,359,322,544
190: 213,132,429,290,354,6,336,320,100,535
191: 142,80,295,26,501
192: 388,129,185,439,468,394,251,58,520
