0: 466
1: 415
2: 322,41,223,208,469,477,441,64,161
3: 430,139,9
4: 144,183,163,70,312,206
5: 113,74,107,490
6: 425,228,450,328,239,87,365,79
7: 57,351
8: 338,288,64,380,125,97,469,25,161,276,94
9: 430,3
11: 287,483,155,27,122,267,214,260
12: 295,191,274,281,13,432,300,210,501,244,133
13: 60,464,200,31,432,232,300,249,295,12,274,281
14: 264,318,272,252,398,220,60,159
15: 416,481,470,327
16: 482,453,19,261,387,393
17: 90,335,81,430,419,413,71,238
18: 136,214,436,251,58,27,267,192,468
19: 453,399,16,248,51,288,393
20: 407,29
21: 
22: 322,379,223,208,177
23: 128,227
24: 236,386,235,162,56,443,250
25: 80,191,338,8,125,26,276,142
26: 121,501,120,276,279,143,80,200,432,191,338,25,142
27: 11,267,214,260,468,439,18
28: 368,198,461,271,381
29: 337,328,181,20
30: 351,399,492,278,32,221
31: 464,13,432,232,205,300,330,368,475,414,130,121,149,244
32: 134,57,278,30,351,399,489,221,440,110
33: 382,157,363,284,188,346
34: 373,254,243
35: 68,446,293,167,245,174,151,423
36: 61,253,492,221,48,205,159,311
37: 54,56,505,234,196
38: 53,96,480,265,112,116,270
39: 194,140,505,370,127
40: 130,230,121,239,149,87,193,343,420,145
41: 2,261,469,495,64
42: 383,480,265,112
43: 407,109,107
44: 492,323,201,164,511
45: 
46: 257,103,96,507,131,493
47: 172,516
48: 220,464,200,205,221,279,143,36,120
49: 219,106,71,239,306,187,476,238,412,450
50: 381,180,417,414,339,433,232,300
51: 504,248,101,453,19,288,393,311
52: 494,308,355
53: 397,357,184,361,38,123,480,296
54: 37,495,505,234,70,482,472,165
55: 257,103,507,275,269,117,114,78,166
56: 37,162,505,196,76,24,236
57: 176,386,7,32,472,448,235,216,351,489
58: 374,436,136,18
59: 384,290,317,444,132,396
60: 220,464,13,14,249,272,252,398,281
61: 397,253,357,164,36,184,69,511
62: 240,316,184,511,383
63: 
64: 288,8,380,393,125,212,2,41,261,223,469
65: 382,213,168,152
66: 78,509
67: 424
68: 35,446
69: 61,253,164,438,198
70: 183,163,482,472,234,4,54,206
71: 413,193,77,17,90,106,239,306,238,49
72: 409,298
73: 195,225,506
74: 113,228,5,336,146,462,141,458
75: 166,391,394,229,128,114
76: 140,196,56
77: 193,71,311,205,248,121,306,120,149
78: 509,66,186,55,269,166
79: 132,429,188,354,190,87,6,91
80: 82,502,279,200,295,191,25,26
81: 430,17
82: 502,80,498,470,434,279,358,220,200
83: 85,445,484,461
84: 285,362
85: 445,403,83
86: 217,292
87: 230,40,239,145,155,341,290,6,228,336,79
88: 446
89: 104,108
90: 17,389,335,504,106,413,71,231,238
91: 508,145,365,328,79,188
92: 479,411,242
93: 210,197,249,433,378,274,417
94: 462,195,258,219,8,97,141
95: 297,365,344,343,256
96: 241,46,257,38,405,509
97: 8,276,146,94,219,141
98: 241
99: 406,499
100: 320,458,190
101: 504,51,387,139,312,453,233
102: 296,455,343,500
103: 123,46,257,55,456,381,275,475,414,117
104: 415,89,172,108,345
105: 371
106: 90,389,504,380,212,71,306,238,49
107: 113,412,5,43
108: 170,104,89,392,172,227
109: 43,156
110: 422,221,434,358,443,134,247,327,124,32,235
111: 254,360,243,222
112: 265,38,42
113: 74,412,5,462,107
114: 275,180,418,269,303,55,202,166,75,394,229
115: 234,154,400,503
116: 150,270,173,131,493,38,480,500,265
117: 275,135,103,55,507,202,203,199
118: 388,157,185,421,331,513,396,325
119: 487,283
120: 26,121,306,276,143,48,205,248,338,288,77
121: 130,26,230,40,239,120,276,149,31,205,193,77
122: 11,287,353,130,230,244,291,317,260,133
123: 103,456,397,357,330,368,53,381,475,414
124: 470,134,327,272,221,434,110,220,159
125: 338,64,8,279,224,469,25,161
126: 322,208,189,441,266
127: 322,379,505,347,194,514,39,165,309
128: 23,227,237,303,75,391,229
129: 263,185,192,439,137,202,199
130: 230,121,40,149,244,31,475,353,420,287,341,203,122
131: 362,116,270,173,179,478,493,46,507,285
132: 284,79,213,429,188,190,290,384,447,59
133: 260,12,353,210,214,244,291,122
134: 247,327,124,32,278,221,110,159
135: 364,275,117,202,251,483,203,267,199,439
136: 513,18,58,388,192,468
137: 507,202,285,129
138: 508,301
139: 389,101,387,178,408,3
140: 76,471,39,370
141: 506,97,462,94,74
142: 146,291,191,25,26,501,276
143: 279,510,48,248,338,288,26,120
144: 4,246,299
145: 259,173,343,420,500,40,87,341,91,188
146: 291,142,97,74,228,336
147: 182,471
148: 
149: 130,121,40,31,205,296,193,77,420
150: 116,270,173,265,256
151: 352,423,484,35,293
152: 213,447,65,371
153: 457,249,252,345,281
154: 115,234,409,209
155: 11,287,483,341,290,402,87,188
156: 109
157: 263,185,118,33
158: 494,355,350
159: 220,310,134,124,14,398,221,253,36
160: 
161: 2,469,8,125
162: 235,204,495,56,24,236
163: 70,4,211
164: 61,69,511,323,44,316
165: 366,309,463,54,261,127
166: 75,55,269,114,78
167: 340,268,35
168: 447,396,382,65,325
169: 285,390
170: 108,392,237,227,313,197
171: 457,454,174,416,318
172: 47,433,392,378,437,516,104,108,345
173: 150,362,259,116,270,131,145,478,493,500
174: 245,340,175,35,293,423,171
175: 485,174
176: 242,57,216
177: 22
178: 366,408,389,387,139
179: 362,131,478,507,483,199,285,263
180: 50,364,275,417,414,418,339,114,303
181: 349,508,29
182: 298,147
183: 70,4,206
184: 61,357,53,62,383,296,401,311
185: 263,388,129,157,192,118,439
186: 466,314,496,78
187: 305,215,195,258,49
188: 284,79,132,429,259,145,155,402,91,363,33
189: 359,126,488
190: 79,213,132,429,354,100
191: 295,12,80,200,25,26,501,142
192: 388,129,185,468,439,202,394,251,136,18
193: 296,343,71,77,420,500,205,121,40,149
194: 39,127
195: 94,258,73,225,187
196: 386,76,37,56,216
197: 93,436,378,237,170,417,418,474,229,374
198: 438,461,28,69
199: 483,117,135,202,179,263,129,439
200: 220,464,48,13,432,279,82,80,295,191,26
201: 323,329,473,44,492
202: 394,251,507,275,117,135,114,137,199,129,192,439
203: 287,483,341,456,275,475,117,135,420,130,478,493
204: 235,162,495,422,440
205: 48,31,253,357,330,36,193,77,311,121,120,149
206: 463,4,183,70,482
207: 431
208: 2,322,126,223,441,22
209: 154,409
210: 214,93,300,12,274,417,339,449,353,133
211: 453,351,489,163
