0: 286
1: 452,446
2: 322,41,366,261,64,8,223,161
3: 4,312,408,139
4: 312,163,3,206
5: 107,6,190,424
6: 5,425,87,239,365,91,79,328
7: 460,351,211,57
8: 276,64,380,223,125,2,161,94
9: 
11: 287,353,155,135,27,122,290,260,444,214
12: 295,80,274,191,244,13,432,300,133,93
13: 398,464,200,31,432,249,60,252,295,12,274,281,300
14: 318,423,272,159,134,327,350,60
15: 222,416,226,247,327,272,124,454
16: 70,19,165,206,463,261,387,393
17: 95,344,430,90,335,238,419,71,367
18: 436,449,251,58,136,27,267,214
19: 453,399,16,288,440,393
20: 431,407
21: 271,381
22: 177,208,195
23: 128,269
24: 236,410,443
25: 161,358,125,279,338
26: 130,121,205,48,432,279,80,191,338,120,142
27: 11,439,267,18,260,444,214,421,331,388
28: 368,69,253,159,461,31,232
29: 337
30: 201,399,278,351,32
31: 398,464,13,310,232,330,368,28,123,50,414,300
32: 134,278,351,235,57,30,110
33: 157,259,363,284,346
34: 308,278,355,373,254,243,134
35: 68,340,167,245,151,423,293
36: 61,253,44,311,310,221
37: 448,54,162,216,39
38: 265,361,53,96,150,116
39: 400,76,140,37,162,56,127
40: 130,121,87,149,193,343,420,145,456,203
41: 2,261,56,315,204,125,64
42: 240,455,383,112
43: 407,187,107,412,376
44: 201,233,311,164,316,62,36
45: 
46: 257,103,96,55,116,131,117,137
47: 172,271,415,352,83
48: 464,200,310,221,220,279,143,358,26,205
49: 219,258,106,238,215,187,306
50: 381,180,414,300,433,437,378,31,232
51: 387,90,248,101,106,212,389,453,311,288,64,393,77
52: 158,164,355
53: 397,357,184,361,296,455,38
54: 448,37,57,216,234,70,211
55: 46,257,103,275,114,78,202,166,117,137
56: 162,39,76,126,41,261,333
57: 448,54,235,216,7,176,32,211
58: 374,136,18,436,251
59: 396,317,444,132
60: 398,200,13,220,249,14,252,272,159,153,281
61: 397,241,357,368,36,184,69,253
62: 377,316,44
63: 
64: 8,380,223,393,288,2,41,366,51,212
65: 382,168
66: 405,262,169,78
67: 105
68: 35,88
69: 438,198,253,461,61,241,28
70: 183,211,16,54,163,206
71: 413,193,77,90,106,238,239,95,17,306
72: 409,298
73: 141,451,195,94
74: 228,190,97,336,146,458
75: 202,166,391,394,229,128,114,303
76: 140,39,196,56
77: 296,413,193,71,311,90,248,51,106,120,121,149,205
78: 269,186,257,55,66,166
79: 132,188,87,145,290,6,91
80: 295,12,191,200,432,279,26,142
81: 356
82: 124,358,434,200,220,279,295,454
83: 277,445,85,47,271
84: 179,362
85: 445,83
86: 292,284,119
87: 130,336,230,121,40,239,145,287,341,290,6,79
88: 68,446
89: 108
90: 335,101,51,106,238,401,413,71,77,17
91: 145,6,79,188,328
92: 289,242,411
93: 210,153,433,378,249,12,274,300
94: 195,258,276,8,223,73,97
95: 344,297,17,193,71,256
96: 46,405,169,38,270,131
97: 74,228,146,94,462,141
98: 257,314
99: 465
100: 190,384,320
101: 387,90,139,51,401,312,233,453
102: 296,455,193,343,150,116
103: 123,46,257,55,275,414,117
104: 172,415,293,345
105: 67
106: 90,248,51,212,238,380,120,71,77,49
107: 5,412,187,113,376,43,459
108: 89,392
109: 297,407
110: 422,124,32,247,235
111: 360,268,254,243
112: 265,42
113: 219,462,107,376,459
114: 275,180,417,418,303,55,202,166,75,394,229
115: 428
116: 150,420,270,173,456,46,296,343,102,38
117: 420,131,46,103,55,275,135,263,203,137
118: 421,402,396,331,388,325
119: 283,385,86
120: 276,338,380,288,143,248,106,77,121,26,205
121: 130,87,40,239,149,26,205,120,193,77
122: 11,287,353,290,244,130,230,291,317,260
123: 103,357,330,368,31,414,456
124: 110,82,434,134,247,327,15,272,220
125: 315,358,224,41,338,8,25,161
126: 322,56,189,370,266,333
127: 347,400,39,309
128: 23,404,227,237,324,75,391
129: 192,157,185,199,263
130: 230,121,87,40,149,26,244,287,122,203
131: 362,270,173,117,46,96,285,137,179
132: 79,213,429,336,290,190,384,59
133: 244,12,191,339,449,300,353,260,214
134: 226,243,32,247,327,34,278,14,124
135: 11,287,353,155,341,439,267,263,203,364,275,117
136: 58,18,251,192,388
137: 285,46,55,202,131,117,263,199
138: 181
139: 101,389,3,178,408
140: 76,39
141: 73,462,97
142: 146,291,80,26
143: 288,358,48,221,279,338,120,205
144: 299,183,246
145: 420,173,343,87,40,341,259,91,79,188
146: 291,142,336,74,228,97
147: 182
148: 
149: 130,121,40,205,330,296,193,77
150: 116,270,173,102,265,38,256
151: 352,423,293,35
152: 213,447,371
153: 457,318,252,172,249,60,274,281,93
154: 209
155: 11,287,341,135,402,263,290
156: 
157: 129,185,402,263,179,33
158: 52,350,445
159: 14,252,253,28,398,310,221,220,60
160: 
161: 25,125,2,8
162: 448,37,56,39
163: 233,453,4,70,312
164: 52,316,201,44
165: 309,463,16,261
166: 202,75,269,55,114,78
167: 175,35,340
168: 65,382,325
169: 96,405,66,390
170: 392,378,237,227,313,197
171: 457,416,174,318
172: 47,433,104,264,352,252,293,153,345,249
173: 150,362,420,116,270,131,145,259
174: 222,416,340,171
175: 167,340
176: 242,57
177: 22
178: 408,463,139,389
179: 285,84,362,131,263,157
180: 50,364,275,417,114,414,418,339,449,300
181: 349,138,363
182: 147,298
183: 246,70,144,299,206
184: 61,357,53,311,401,296,413,383
185: 129,157,421,402
186: 277,269,78
187: 367,219,49,332,107,412,43
188: 79,429,328,145,259,363,91
189: 359,126,266
190: 74,5,100,213,132,354
191: 12,80,244,432,133,26
192: 129,199,202,394,251,136,439,388
193: 296,343,71,77,102,121,40,239,149,95
194: 
195: 258,94,223,225,22,73
196: 386,76
197: 210,436,378,237,170,313,417,303,229
198: 438,69,461
199: 192,129,202,439,263,137
200: 464,48,13,432,220,279,60,82,295,80,281
201: 30,44,323,329,351,164
202: 166,75,394,55,114,137,192,199
203: 287,341,135,275,414,130,40,420,456,117
204: 315,422,440,235,41
205: 121,149,26,311,143,330,48,310,248,120,77
206: 463,4,183,70,16
207: 431
208: 22,322,441
209: 154,299
210: 197,93,436,378,417,339,449
211: 70,7,351,54,57
212: 51,106,389,366,64,380,223
213: 284,132,429,354,190,447,371,292,152
214: 260,449,133,18,251,11,353,27,267
215: 367,231,238,49
216: 448,54,37,57,386
217: 283
218: 409
219: 113,49,462,187,228,306,412,450
220: 200,48,221,60,272,159,124,358,82,434
221: 48,310,220,159,143,36
222: 15,416,174,360,226
223: 64,8,380,2,366,212,195,258,94
224: 250,358,125
225: 441,451,195
226: 243,134,247,327,360,222,15,416
227: 128,404,237,170,427,324,313,303
228: 74,306,97,276,336,239,146,219
229: 75,391,394,237,417,114,418,303,197,436
230: 130,336,87,291,287,122,290,317
231: 389,238,215
232: 398,31,264,252,271,437,368,28,50,381
233: 44,163,453,312,101
234: 400,54
235: 448,57,32,204,440,110
236: 24,333
237: 170,128,227,324,313,303,197,229
238: 90,231,335,106,71,215,49,17
239: 121,87,193,71,6,228,306
240: 361,42
241: 61,397,69,395
242: 176,92,280
243: 226,134,360,268,254,111,34
244: 432,12,191,339,300,133,130,353,122
245: 35,293,345
246: 183,144,299
247: 226,134,321,15,124,110,250
248: 51,106,311,288,120,77,205
249: 398,13,60,252,153,433,172,274,281,93
250: 224,247,443
251: 394,418,18,436,58,136,439,267,214,192
252: 264,159,153,172,398,13,249,232,60
253: 69,159,61,28,36
254: 268,111,280,34,243
255: 
256: 150,95
257: 98,46,103,55,78
258: 195,49,94,223
259: 363,362,173,145,188,33
260: 444,214,133,11,353,27,122
261: 2,41,16,56,165
262: 307,405,372,66,294,390
263: 155,439,135,402,117,137,179,129,157,199
264: 352,252,433,172,271,437,232
265: 112,38,150,270
266: 189,126
267: 353,439,135,27,364,418,18,251,214
268: 360,254,111,243
269: 186,23,78,166
270: 150,116,173,131,96,265
271: 47,437,264,21,83,232,381
272: 14,318,327,15,416,124,220,60,281,454
273: 
274: 295,12,281,153,13,249,93
275: 364,180,114,414,418,103,55,117,135,203
276: 8,380,120,94,228
277: 83,186
278: 34,308,355,351,32,134,30
279: 200,48,143,358,82,295,80,338,25,26
280: 254,242
281: 295,274,454,272,153,200,13,249,60
282: 
283: 217,119
284: 213,429,363,382,33,292,86
285: 137,179,131
286: 0
287: 11,353,155,135,122,290,203,130,230,87
288: 315,422,143,19,399,248,51,64,120,393
289: 92,411
290: 11,287,155,122,336,230,87,317,79,132
291: 146,142,336,230,122,317
292: 86,284,213
