0: 
1: 108,83,89
2: 64,32,57,56,82
3: 109
4: 112,71,44,42,102
5: 87,6,94,43,91
6: 87,94,5,97,130,17,91
7: 72
8: 30,41,126,80
9: 
11: 87,120,61,40,79,122
12: 26,80,27
13: 28,48,121,125,26,64
14: 34,35
15: 35
16: 90,54,22,127
17: 6,91
18: 93,47
19: 57,101,70
20: 29
21: 31,50,103,116,96,40,123,85
22: 127,90,16
23: 45
24: 56
25: 126
26: 13,28,121,12,120
27: 12,122
28: 13,48,121,26,68
29: 119,86,20
30: 64,101,106,8
31: 55,47,21,50,103,123
32: 2,64,36,34,124
33: 119
34: 36,14,32
35: 15,14
36: 34,77,32
37: 115,39
38: 53
39: 37
40: 69,123,116,61,21,11,98
41: 49,8
42: 102,112,4
43: 5,107
44: 101,102,4
45: 23
46: 78
47: 55,31,114,108,18
48: 13,28,121,61,101,102
49: 41
50: 103,88,104,31,21
51: 70,106
52: 77
53: 38
54: 127,16
55: 31,47,114,78
56: 99,110,24,2,57
57: 2,19,99,56
58: 118
59: 80,97,130,122,65
60: 68
61: 48,121,40,11,120
62: 116,66,69,85
63: 
64: 2,32,30,82,13,125,126
65: 97,59
66: 62,69
67: 105
68: 28,124,60
69: 40,62,116,66
70: 19,51
71: 4,102,106,87
72: 7
73: 
74: 84,79,129
75: 128
76: 
77: 52,36
78: 46,55
79: 74,129,11,97
80: 59,12,8
81: 
82: 2,64,125
83: 1
84: 74,129
85: 96,62,21
86: 119,29
87: 11,6,5,130,71
88: 104,50
89: 1,108
90: 16,22,109
91: 17,6,5
92: 
93: 18
94: 6,5,97,130,100
95: 
96: 123,85,103,21
97: 6,94,130,59,79,65
98: 40,117
99: 56,57
100: 94
101: 44,19,30,102,48,106
102: 42,101,44,48,71,4
103: 50,96,31,21
104: 88,50
105: 67
106: 101,30,51,71
107: 43
108: 114,1,89,47
109: 90,3
110: 56
111: 
112: 4,42
113: 
114: 108,55,47
115: 37
116: 62,69,40,21
117: 98
118: 58
119: 33,86,29
120: 11,121,26,61
121: 13,28,48,26,61,120
122: 11,59,27
123: 96,40,31,21
124: 125,68,32
125: 13,124,64,82
126: 64,25,8
127: 54,22,16
128: 75
129: 84,79,74
130: 87,6,94,97,59
