0: 286
1: 35
2: 127,261,126,223,39,54,56,125,140,41
3: 109,90,17,9
4: 178
5: 43,228
6: 107,79,91
7: 234
8: 41,64,97,161,143,80,120,25,230,94,146
9: 3
11: 287,180,117,260,267
12: 279,281,191,291,274,82,200,48
13: 31,170,252,26,93
14: 268,34,272,124,220,134
15: 171,272,60,281
16: 165,206,261
17: 90,81,71,139,3
18: 199,214,229,251,58,267,192,136
19: 70,248
20: 207,29
21: 28,103
22: 223,195,51,208,212
23: 128,166,269,255
24: 266,196,56,236
25: 126,41,8,161
26: 200,61,31,13,275,123,244,180
27: 214,260,185
28: 50,158,21,159,232
29: 20
30: 221,288,204,101,36
31: 170,13,275,114,55,232,123,47,26,61,103
32: 278,124,134
33: 283
34: 278,14
35: 68,88,245,1
36: 201,44,253,278,221,30
37: 115,182,54,216,194,39
38: 150,138,96,42,53,102
39: 2,127,189,261,37,196,54,56,194
40: 179,259,131,150,46,116,123,102,117,203
41: 208,64,8,161,212,125,2,126,25
42: 81,53,256,112,38
43: 107,5
44: 201,233,36,101,106,77,139
45: 273
46: 98,96,55,123,179,131,40
47: 31,170,114,232,103
48: 205,220,200,120,134,221,143,82,279,12,230
49: 208,187,231,228,258
50: 264,151,28,249,252,172,159,232
51: 165,206,22,223
52: 158,164,85
53: 102,240,116,42,38
54: 56,57,37,2,261,39
55: 31,275,199,114,123,46,202,117,135
56: 196,54,57,24,125,2,39
57: 54,56,162,243,211
58: 229,18,197,251,75
59: 168,290,132,152
60: 171,15,220,281,274
61: 205,26,159,69,186,116,31,232,123
62: 164
63: 
64: 41,8,212,288,120,106,94
65: 213,168
66: 262
67: 100
68: 88,35
69: 184,198,241,61,186,116
70: 19,211
71: 256,193,139,238,106,17,149,219
72: 154,115
73: 113
74: 87,122,276,239,132,79
75: 237,128,58
76: 
77: 102,139,44,205,106,149
78: 202
79: 6,74,132,190,284,91
80: 224,82,143,279,8
81: 42,17,139
82: 224,80,143,220,48,279,12,281
83: 104,227,88,148,264,271
84: 
85: 52,158,148
86: 213,190,119,105
87: 149,121,219,94,122,276,74,193,145,130,132
88: 68,35,148,271,83
89: 227
90: 238,106,17,139,3
91: 188,284,145,79,6,173
92: 289
93: 210,252,172,170,13
94: 149,87,230,121,219,276,120,106,64,8
95: 173
96: 98,46,116,265,38
97: 8,161,146
98: 96,46,186,116,123
99: 
100: 67,105
101: 288,30,44,248,106,139
102: 53,193,77,116,149,150,40,38
103: 186,257,21,31,232,47
104: 83,172,227,264,108
105: 282,86,100
106: 90,238,101,288,44,120,64,71,77,139,94
107: 43,6
108: 245,104,172
109: 3,215
110: 243,250,124
111: 226
112: 265,42
113: 228,73
114: 31,170,199,55,229,47,202,251
115: 37,72
